Name,WAR,WAR7,JAWS,WAR/162,oWAR,dWAR,WAA,Yrs,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,ID
Carson Kelly,4.0,4.9,4.5,1.2,4.4,2.7,-2.1,9,0,556,1802,1591,190,357,71,2,54,207,3,0,174,368,.224,.307,.373,.681,86,kellyca02
John Orsino,4.4,4.4,4.4,2.2,5.3,0.9,0.8,7,0,332,1135,1014,114,252,44,5,40,123,3,3,92,191,.249,.319,.420,.739,106,orsinjo01
Tommie Dukes,4.2,4.6,4.4,2.7,4.7,-0.1,1.3,10,1,252,911,824,129,248,37,13,13,131,5,,68,,.301,.359,.425,.784,114,dukesto02
Dave Rader,4.1,4.7,4.4,0.8,6.0,2.5,-4.5,10,0,846,2702,2405,254,619,107,12,30,235,8,4,245,180,.257,.326,.349,.675,86,raderda01
José Molina,3.1,5.7,4.4,0.5,0.9,7.7,-6.9,15,0,947,2795,2546,240,592,117,3,39,223,20,7,154,576,.233,.282,.327,.608,64,molinjo01
Dick Buckley,4.3,4.5,4.4,1.3,4.1,3.1,-2.7,8,0,524,1974,1833,213,449,72,14,26,216,25,,98,188,.245,.291,.342,.633,80,buckldi01
Dan Kennard,4.3,4.3,4.3,3.5,4.5,0.4,2.0,5,0,202,715,641,87,188,42,11,13,121,10,,43,,.293,.351,.454,.805,122,kennada01
Buck Rodgers,3.4,5.2,4.3,0.6,2.5,6.8,-7.4,9,0,932,3353,3033,259,704,114,18,31,288,17,27,234,409,.232,.288,.312,.600,74,rodgebu01
Lew Drill,4.3,4.3,4.3,2.3,7.1,-1.1,0.1,4,0,293,1057,896,87,231,41,10,2,100,21,,114,114,.258,.353,.333,.686,109,drillle01
Fatty Briody,4.1,4.3,4.2,2.1,1.9,4.3,0.0,8,0,323,1231,1186,134,271,52,7,3,115,6,,44,119,.228,.257,.292,.548,69,briodfa01
Barry Foote,3.3,5.1,4.2,0.8,1.5,5.6,-3.9,10,0,687,2300,2127,191,489,103,10,57,230,10,6,136,287,.230,.277,.368,.645,75,footeba01
Geno Petralli,3.8,4.6,4.2,0.8,7.4,-0.4,-3.3,12,0,809,2131,1874,184,501,83,9,24,192,8,6,216,263,.267,.344,.360,.703,95,petrage01
Bennie Tate,3.7,4.7,4.2,1.1,3.2,1.9,-2.8,10,0,566,1716,1560,144,435,68,16,4,172,5,16,118,51,.279,.330,.351,.681,79,tatebe01
Jerry McNertney,4.0,4.3,4.1,1.1,3.5,3.1,-1.5,9,0,590,1606,1423,129,337,51,6,27,163,3,5,119,199,.237,.298,.338,.636,81,mcnerje01
Earl Grace,4.0,4.2,4.1,1.0,4.0,1.8,-2.9,8,0,627,2088,1877,169,493,83,10,31,251,1,5,185,130,.263,.331,.367,.698,87,graceea01
Scott Servais,3.1,5.1,4.1,0.6,3.4,4.0,-5.3,11,0,820,2778,2493,243,611,130,2,63,319,3,6,183,407,.245,.306,.375,.681,79,servasc01
Brent Mayne,2.8,5.3,4.1,0.4,4.0,5.4,-10.6,15,0,1279,4084,3614,359,951,178,8,38,403,18,27,370,580,.263,.332,.348,.680,76,maynebr01
Josh Bard,3.3,4.9,4.1,0.9,5.5,1.0,-3.1,10,0,586,1981,1778,162,452,109,3,39,220,1,4,175,299,.254,.320,.385,.705,90,bardjo01
Shea Langeliers,4.1,4.1,4.1,2.1,5.0,0.8,0.2,3,0,312,1177,1072,124,231,47,7,57,165,7,4,84,341,.215,.276,.432,.708,100,langesh01
Al Evans,3.5,4.5,4.0,0.8,3.8,1.8,-3.5,12,0,704,2322,2053,188,514,70,23,13,211,14,9,243,206,.250,.332,.326,.658,82,evansal01
Cliff Bolton,4.0,4.0,4.0,1.9,4.3,0.7,0.1,7,0,335,1078,962,113,280,49,18,6,143,3,3,110,50,.291,.366,.398,.764,98,boltocl01
Keibert Ruiz,4.0,4.0,4.0,1.6,4.5,1.9,-1.1,5,0,406,1584,1472,145,366,70,0,42,176,10,3,83,174,.249,.296,.382,.677,90,ruizke01
Peaches Graham,4.0,4.0,4.0,1.7,5.8,0.4,-0.1,7,0,373,1174,999,99,265,34,6,1,85,21,,114,67,.265,.347,.314,.661,96,grahape01
Bob Kearney,3.8,4.1,4.0,1.3,2.0,4.8,-0.9,8,0,479,1474,1356,131,316,66,3,27,133,9,12,67,235,.233,.274,.346,.619,71,kearnbo01
Val Picinich,2.4,5.5,4.0,0.4,8.6,-2.8,-9.6,18,0,1037,3318,2877,298,743,166,26,26,298,31,23,314,382,.258,.334,.361,.695,86,picinva01
Connor Wong,4.0,4.0,4.0,2.2,4.1,1.5,0.8,4,0,285,960,879,120,225,53,4,23,96,16,9,56,271,.256,.311,.404,.715,95,wongco01
Nat Hicks,3.9,3.9,3.9,2.5,4.8,0.5,0.0,6,0,257,1167,1142,172,301,35,6,1,116,9,3,25,23,.264,.279,.307,.587,91,hicksna01
John Hines,3.7,4.0,3.9,1.7,3.3,0.0,-0.6,9,0,356,1282,1177,165,331,59,17,7,184,29,,94,,.281,.339,.378,.717,96,hinesjo01
Dave Engle,3.8,4.0,3.9,1.0,3.4,0.1,-2.0,9,1,594,1784,1643,201,431,88,13,31,181,5,5,120,190,.262,.311,.388,.700,90,engleda01
Phil Roof,3.2,4.4,3.8,0.6,2.6,5.4,-5.1,15,0,857,2405,2151,190,463,69,13,43,210,11,10,184,504,.215,.283,.319,.603,73,roofph01
Gus Niarhos,3.4,4.2,3.8,1.8,2.7,1.4,0.9,9,0,315,858,691,114,174,26,5,1,59,6,7,153,56,.252,.390,.308,.699,89,niarhgu01
Vance Wilson,3.7,3.8,3.8,1.5,2.1,3.4,0.4,8,0,403,1054,953,104,238,42,2,25,129,2,8,46,189,.250,.302,.377,.679,78,wilsova01
Jose Trevino,3.8,3.8,3.8,1.5,2.1,4.2,-0.6,7,1,399,1274,1190,131,281,52,1,32,141,4,2,61,225,.236,.275,.362,.637,75,trevijo01
Lou Berberet,3.8,3.8,3.8,1.4,2.3,3.4,-0.7,7,0,448,1449,1224,118,281,34,10,31,153,2,3,200,195,.230,.337,.350,.687,86,berbelo01
Bill Haselman,3.4,4.1,3.8,0.9,4.6,1.4,-2.7,13,0,589,1747,1606,185,416,94,3,47,210,9,9,114,300,.259,.311,.409,.720,84,haselbi01
Earle Brucker,3.7,3.7,3.7,2.5,3.8,0.6,0.9,5,0,241,811,707,87,205,53,8,12,105,2,4,97,65,.290,.376,.438,.815,108,bruckea01
Lenny Webster,3.3,4.2,3.7,0.9,4.7,1.2,-2.1,12,0,587,1617,1450,157,368,73,2,33,176,1,3,140,209,.254,.324,.375,.699,84,webstle01
René Rivera,2.4,5.1,3.7,0.7,1.2,4.1,-3.1,13,0,542,1629,1492,120,330,65,2,43,176,1,1,93,446,.221,.273,.354,.627,72,riverre01
Victor Caratini,3.6,3.8,3.7,1.0,4.3,1.7,-2.8,8,0,606,1847,1631,180,393,61,1,46,201,4,3,165,392,.241,.320,.364,.685,88,caratvi01
Bill Cash,3.7,3.7,3.7,2.1,3.5,0.8,0.7,6,2,279,1057,930,137,254,36,17,8,131,4,,103,,.273,.347,.374,.722,99,cashbi01
Sammy White,1.8,5.5,3.7,0.3,1.4,4.9,-10.1,11,1,1043,3792,3502,324,916,167,20,66,421,14,15,218,381,.262,.305,.377,.682,80,whitesa02
Pinch Thomas,2.8,4.4,3.6,0.9,4.4,0.6,-1.9,10,0,481,1205,1035,88,245,27,8,2,102,12,2,118,85,.237,.318,.284,.602,78,thomapi01
Johnny Oates,3.2,3.9,3.6,0.9,1.6,4.8,-2.7,11,0,593,1820,1637,146,410,56,2,14,126,11,19,141,149,.250,.309,.313,.622,73,oatesjo01
Tim Laudner,3.2,4.0,3.6,0.7,5.5,1.6,-4.1,9,1,734,2268,2038,221,458,97,5,77,263,3,3,190,553,.225,.292,.391,.682,84,laudnti01
Fergy Malone,3.6,3.6,3.6,2.6,3.5,1.0,0.1,7,0,220,1084,1052,200,288,32,7,1,157,21,5,32,19,.274,.295,.320,.616,89,malonfe01
Earl Averill,3.6,3.6,3.6,1.3,4.8,-0.3,-0.5,7,0,449,1218,1031,137,249,41,0,44,159,3,3,162,220,.242,.346,.409,.755,102,averiea02
Larry Woodall,2.9,4.2,3.5,0.8,3.7,0.5,-3.0,10,0,548,1526,1317,161,353,52,15,1,161,16,6,159,67,.268,.347,.333,.680,78,woodala01
Klondike Douglass,3.0,4.0,3.5,0.6,8.8,-5.3,-7.8,9,0,748,3136,2800,368,766,85,29,10,275,84,,227,109,.274,.337,.335,.672,91,douglkl01
Henry Williams,3.4,3.6,3.5,1.6,3.3,0.6,-0.1,8,0,333,1074,1019,153,293,52,15,16,159,14,0,48,,.288,.321,.415,.737,95,willihe01
Duane Josephson,3.5,3.5,3.5,1.2,4.9,1.2,-2.3,8,1,470,1631,1505,147,388,58,12,23,164,4,10,92,174,.258,.303,.358,.661,89,josepdu01
Paddy Livingston,3.5,3.5,3.5,2.7,1.9,2.9,0.9,7,0,206,665,574,48,120,17,12,0,45,9,1,41,60,.209,.287,.280,.568,72,livinpa01
Malachi Kittridge,1.6,5.2,3.4,0.2,-0.2,9.1,-14.5,16,0,1216,4464,4029,375,882,108,31,17,391,64,,314,274,.219,.277,.274,.550,56,kittrma01
George Dixon,2.9,3.8,3.4,1.3,3.1,0.7,-1.1,11,0,362,1210,1051,150,267,38,14,8,175,12,,117,,.254,.338,.340,.678,85,dixonge01
Buck Crouse,3.4,3.3,3.4,1.2,1.9,2.7,-2.3,8,0,470,1472,1306,128,342,54,6,8,162,14,9,114,68,.262,.326,.331,.657,72,crousbu01
Bob Melvin,2.5,4.2,3.3,0.6,0.5,5.4,-4.7,10,0,692,2095,1955,174,456,85,6,35,212,4,13,98,396,.233,.268,.337,.604,69,melvibo01
Ramón Castro,3.0,3.6,3.3,0.9,3.5,2.1,-2.0,13,0,567,1603,1426,155,338,66,0,67,217,2,0,151,375,.237,.310,.424,.734,91,castrra01
Tubby Spencer,2.5,4.1,3.3,0.9,4.7,0.7,-3.1,9,0,449,1458,1326,106,298,43,10,3,134,13,,87,127,.225,.281,.279,.560,76,spenctu01
Max Stassi,2.2,4.5,3.3,0.9,2.4,2.2,-2.1,10,0,403,1285,1137,136,241,42,2,41,128,0,0,119,379,.212,.295,.361,.656,80,stassma01
Hobie Landrith,2.9,3.7,3.3,0.6,2.4,3.8,-5.4,14,0,772,2228,1929,179,450,69,5,34,203,5,12,253,188,.233,.320,.327,.647,75,landrho01
Mickey O'Neil,2.6,4.0,3.3,0.6,-1.3,6.1,-4.7,9,0,672,2203,1995,177,475,41,23,4,179,18,16,139,127,.238,.292,.288,.579,59,o'neimi02
John Flaherty,1.6,5.0,3.3,0.2,1.9,5.7,-10.8,14,0,1047,3640,3372,319,849,176,3,80,395,10,19,175,514,.252,.290,.377,.667,74,flahejo01
Dick Brown,2.9,3.7,3.3,0.7,2.8,3.4,-3.3,9,0,636,2031,1866,175,455,62,3,62,223,7,6,119,356,.244,.291,.380,.671,82,browndi01
Mike Fitzgerald,2.1,4.4,3.3,0.4,6.3,0.0,-6.9,10,0,848,2667,2316,220,545,95,9,48,293,31,20,292,432,.235,.321,.346,.667,87,fitzgmi02
Logan O'Hoppe,3.2,3.2,3.2,2.7,3.7,0.9,0.8,3,0,192,737,675,88,164,23,1,34,87,2,4,49,206,.243,.303,.431,.734,103,ohopplo01
Mike Tresh,2.1,4.3,3.2,0.3,1.5,3.9,-9.4,12,0,1027,3640,3169,326,788,75,14,2,297,19,21,402,263,.249,.335,.283,.619,71,treshmi01
Forrest Cady,3.2,3.2,3.2,1.5,3.4,1.6,-0.7,7,0,355,1005,901,83,216,47,11,1,74,4,5,66,107,.240,.297,.320,.616,82,cadyhi01
Hal Wagner,2.5,3.9,3.2,0.6,5.1,-0.6,-4.0,12,2,672,2142,1849,179,458,90,12,15,228,10,6,253,152,.248,.343,.334,.677,88,wagneha01
Ken Suarez,3.2,3.2,3.2,1.8,2.4,2.3,0.5,7,0,295,785,661,57,150,29,1,5,60,5,3,99,97,.227,.330,.297,.626,81,suareke01
Bobby Estalella,2.5,3.9,3.2,1.3,3.9,0.1,-0.7,9,0,310,1056,904,126,195,49,5,48,147,6,2,130,290,.216,.315,.440,.755,92,estalbo02
Bill DeLancey,3.2,3.2,3.2,2.3,3.9,-0.1,0.9,4,0,219,686,598,79,173,32,10,19,85,1,7,85,74,.289,.380,.472,.851,122,delanbi02
Mickey Livingston,2.3,3.9,3.1,0.7,2.8,1.1,-3.6,10,0,561,1667,1490,128,354,56,9,19,153,7,7,144,141,.238,.310,.326,.636,82,livinmi01
Elmer Sutcliffe,3.1,3.1,3.1,1.4,5.8,-1.7,-1.2,7,0,344,1417,1322,177,381,43,24,6,174,41,,92,87,.288,.336,.371,.707,106,sutclsy01
Jim French,3.1,3.1,3.1,2.1,1.9,2.5,0.5,7,0,234,741,607,53,119,17,4,5,51,3,6,121,78,.196,.328,.262,.590,75,frencji01
Harry McCurdy,2.7,3.4,3.0,0.8,4.4,-0.7,-1.9,10,0,543,1316,1157,148,326,71,12,9,148,12,10,129,108,.282,.355,.387,.743,92,mccurha01
Billy Earle,3.0,3.0,3.0,3.5,2.9,0.6,1.5,5,0,142,538,465,102,133,20,12,6,74,41,,63,36,.286,.378,.419,.798,115,earlebi01
Ray Lamanno,3.0,3.0,3.0,1.1,2.8,1.7,-3.0,5,1,442,1548,1408,122,355,57,5,18,150,2,3,118,151,.252,.314,.338,.653,82,lamanra01
Frank House,2.0,4.0,3.0,0.5,1.5,3.1,-4.8,10,0,653,2188,1994,201,494,64,11,47,235,6,7,151,147,.248,.302,.362,.663,79,housefr03
Johnny Hayes,2.7,3.3,3.0,1.4,2.4,1.0,-0.5,12,2,300,1055,904,109,228,33,5,11,109,7,,117,,.252,.342,.336,.679,85,hayesjo01
Les Moss,1.5,4.5,3.0,0.3,3.9,-0.2,-6.2,13,0,824,2550,2234,210,552,75,4,63,276,1,5,282,316,.247,.333,.369,.702,87,mossle01
Dick Bertell,3.0,3.0,3.0,1.1,0.5,4.9,-2.7,7,0,444,1447,1310,91,327,34,9,10,112,2,4,106,188,.250,.305,.312,.617,70,bertedi01
Pedro Severino,2.4,3.5,3.0,1.1,2.5,1.9,-1.7,8,0,370,1241,1113,107,261,51,1,33,134,5,1,107,290,.235,.306,.371,.677,81,severpe01
Otto Ray,2.9,2.9,2.9,2.4,3.5,-0.4,0.7,5,0,195,662,589,104,171,33,19,5,83,18,,54,,.290,.354,.436,.790,118,rayot01
Kelly Stinnett,1.8,4.1,2.9,0.4,2.7,2.7,-5.2,14,0,734,2290,2033,228,476,91,4,65,230,10,5,196,567,.234,.313,.379,.692,78,stinnke01
Ben Davis,2.9,2.9,2.9,1.0,2.6,3.0,-2.5,7,0,486,1698,1512,168,358,77,2,38,204,9,8,153,385,.237,.306,.366,.672,78,davisbe01
Tom Needham,2.5,3.3,2.9,0.8,2.5,3.4,-3.0,11,0,523,1662,1491,114,311,50,10,8,119,20,0,109,187,.209,.274,.272,.546,67,needhto01
Bob Scheffing,2.7,3.1,2.9,0.9,3.4,0.7,-3.0,8,0,517,1474,1357,105,357,53,9,20,187,6,6,103,127,.263,.316,.360,.676,86,schefbo01
Eric Haase,2.9,2.9,2.9,1.3,3.1,1.0,-0.9,7,0,353,1147,1063,123,242,38,3,46,151,6,1,72,345,.228,.277,.399,.676,87,haaseer01
Joey Bart,2.9,2.9,2.9,1.9,3.2,1.1,0.3,5,0,242,785,710,97,167,27,2,24,83,2,1,54,251,.235,.306,.380,.686,92,bartjo01
Kevin Plawecki,2.3,3.5,2.9,0.8,2.8,1.8,-2.2,8,0,447,1426,1268,119,298,63,3,22,137,2,2,119,278,.235,.313,.341,.654,79,plaweke01
Marc Hill,2.3,3.4,2.9,0.5,-0.2,6.2,-4.2,14,0,737,2047,1809,146,404,62,3,34,198,1,7,185,243,.223,.295,.317,.612,70,hillma01
Cameron Rupp,2.9,2.9,2.9,1.6,3.0,1.8,-0.7,5,0,296,1127,1027,100,240,57,2,39,124,2,1,87,323,.234,.298,.407,.705,88,ruppca01
George Kottaras,2.9,2.9,2.9,1.5,3.9,0.4,0.1,7,0,313,858,722,92,155,40,3,32,101,3,1,121,203,.215,.326,.411,.737,98,kottage01
Mark Parent,1.7,4.0,2.8,0.6,0.9,3.2,-2.8,13,0,474,1428,1303,112,279,50,0,53,168,3,3,98,319,.214,.268,.375,.642,71,parenma01
Bill Schroeder,2.7,3.0,2.8,1.2,3.9,0.5,-1.7,8,0,376,1356,1262,153,303,49,1,61,152,6,5,58,343,.240,.281,.426,.707,91,schrobi01
Cam Carreon,2.8,2.8,2.8,1.3,3.4,1.1,-0.6,8,0,354,1100,986,113,260,43,4,11,114,3,4,97,117,.264,.331,.349,.679,88,carreca01
Paul Casanova,1.3,4.3,2.8,0.2,-0.1,6.6,-8.7,10,1,859,2930,2786,214,627,87,12,50,252,2,10,101,430,.225,.252,.319,.571,65,casanpa01
John Bateman,0.9,4.7,2.8,0.1,3.9,3.0,-12.0,10,0,1017,3585,3330,250,765,123,18,81,375,10,10,172,610,.230,.271,.350,.621,77,batemjo01
Bruce Bochy,2.3,3.2,2.8,1.0,3.0,0.8,-0.7,9,0,358,881,802,75,192,37,2,26,93,1,2,67,177,.239,.298,.388,.685,92,bochybr01
Jorge Alfaro,2.5,3.0,2.7,0.8,4.9,0.1,-3.0,8,0,496,1710,1590,152,402,71,4,48,198,18,5,72,581,.253,.302,.393,.695,87,alfarjo01
Fred Carisch,2.6,2.8,2.7,1.9,0.8,3.1,0.0,8,0,226,718,655,43,149,17,9,1,57,16,3,46,63,.227,.280,.285,.566,66,carisfr01
Jerry Willard,2.6,2.8,2.7,1.2,3.5,0.5,-0.2,8,0,346,885,783,82,195,29,1,25,114,1,1,83,161,.249,.320,.384,.705,95,willaje01
Ed Whiting,2.7,2.7,2.7,2.5,4.3,-0.6,0.9,3,0,174,732,705,94,185,36,12,2,18,,,25,,.262,.290,.356,.646,119,whitied01
Chris Bando,1.7,3.6,2.6,0.5,2.1,2.3,-3.0,9,0,498,1467,1284,134,292,46,2,27,142,1,5,138,197,.227,.300,.329,.629,73,bandoch01
Johnny Schulte,2.6,2.6,2.6,2.2,2.8,0.3,1.1,5,0,192,463,374,59,98,15,4,14,64,1,2,76,49,.262,.388,.436,.824,112,schuljo04
Paul Richards,2.3,2.9,2.6,0.7,-0.1,3.9,-2.8,8,0,523,1602,1417,140,321,51,5,15,155,15,3,157,149,.227,.305,.301,.606,68,richapa01
Steve Lake,2.1,3.1,2.6,0.7,-1.4,5.5,-1.9,11,0,476,1197,1125,89,267,41,5,18,108,1,0,43,159,.237,.268,.331,.599,64,lakest01
Austin Wells,2.6,2.6,2.6,3.1,2.4,1.1,1.0,2,0,134,489,424,50,97,24,1,17,68,1,2,50,101,.229,.312,.410,.722,102,wellsau01
Bill Fahey,2.1,3.0,2.6,0.9,1.7,2.4,-1.4,11,0,383,1032,934,75,225,26,2,7,83,9,2,74,93,.241,.296,.296,.591,70,faheybi01
Ray Hayworth,2.0,3.2,2.6,0.5,1.0,3.0,-6.4,15,0,699,2308,2062,220,546,92,16,5,240,2,6,198,188,.265,.331,.332,.663,71,haywora01
Patrick Bailey,2.6,2.6,2.6,1.9,1.9,2.1,0.0,2,0,218,801,727,75,170,34,2,15,94,5,0,60,200,.234,.292,.348,.640,81,bailepa01
Brook Fordyce,1.7,3.4,2.6,0.4,4.8,0.4,-5.0,10,0,623,1973,1807,172,467,103,4,41,188,8,6,119,295,.258,.309,.388,.697,82,fordybr01
Bill Holbert,1.8,3.3,2.5,0.5,-2.6,7.4,-5.4,12,0,623,2396,2335,182,486,41,7,0,144,16,,58,122,.208,.228,.232,.460,47,holbebi01
Ed Phelps,2.0,3.0,2.5,0.5,8.2,-2.2,-4.9,11,0,633,2098,1832,186,460,45,20,3,205,31,0,163,203,.251,.325,.302,.627,88,phelped01
Bill Sarni,2.5,2.5,2.5,1.0,2.7,1.5,-2.5,5,0,390,1303,1182,107,311,50,11,22,151,6,5,89,135,.263,.313,.380,.693,84,sarnibi01
Bob Barton,1.7,3.3,2.5,0.7,-0.1,4.0,-2.3,10,0,393,1153,1049,54,237,31,3,9,66,3,6,87,168,.226,.287,.287,.574,65,bartobo01
Louis Santop HOF,2.5,2.5,2.5,3.5,2.5,0.2,1.2,4,0,115,378,350,52,111,16,5,7,65,9,0,24,1,.317,.363,.451,.814,126,santolo99
Bob Montgomery,2.2,2.7,2.5,0.9,3.3,1.4,-2.3,10,0,387,1285,1185,125,306,50,8,23,156,6,2,64,268,.258,.296,.372,.669,83,montgbo01
Joe Pignatano,2.5,2.5,2.5,1.3,2.7,1.1,-0.4,6,0,307,809,689,81,161,25,4,16,62,8,4,94,116,.234,.332,.351,.683,81,pignajo01
Mark Bailey,2.4,2.4,2.4,1.2,4.0,0.2,-1.5,7,0,340,1126,949,101,209,37,1,24,101,2,5,166,222,.220,.337,.337,.674,93,bailema01
Michael McKenry,2.4,2.4,2.4,1.3,3.3,0.7,-0.6,7,0,311,953,839,94,200,48,3,29,103,2,6,93,235,.238,.318,.406,.725,96,mckenmi01
Julio Rojo,2.4,2.4,2.4,1.4,2.1,0.8,-1.1,7,0,278,1019,940,146,262,48,10,4,145,59,,72,,.279,.331,.364,.695,85,rojoju01
Eddie Pérez,1.8,3.0,2.4,0.5,1.1,3.1,-3.3,11,0,564,1651,1525,137,386,85,2,40,172,1,4,84,234,.253,.297,.390,.687,77,perezed02
Joe Nolan,1.5,3.3,2.4,0.4,6.3,-2.5,-3.9,11,0,621,1649,1454,156,382,66,10,27,178,7,8,164,183,.263,.336,.378,.714,95,nolanjo01
Charlie Spearman,2.4,2.4,2.4,2.4,2.6,0.1,0.7,6,0,162,542,495,77,147,27,4,13,87,6,,41,,.297,.358,.446,.804,111,spearch01
Bennie Warren,2.4,2.4,2.4,1.0,3.4,0.0,-1.6,6,0,377,1129,989,97,217,26,7,33,104,1,2,129,177,.219,.313,.360,.673,93,warrebe01
Mark Salas,2.0,2.8,2.4,0.6,3.2,0.7,-2.6,8,0,509,1410,1292,142,319,49,10,38,143,3,3,89,163,.247,.300,.389,.688,87,salasma01
Kyle Higashioka,2.2,2.5,2.4,0.9,2.9,1.8,-1.7,8,0,398,1186,1104,123,234,48,1,57,166,2,1,66,318,.212,.255,.412,.668,81,higasky01
Francisco Mejia,2.4,2.4,2.4,1.1,2.8,1.4,-1.6,7,0,355,1098,1023,124,244,62,5,29,118,1,2,50,239,.239,.284,.394,.678,88,mejiafr01
Josh Phegley,2.1,2.6,2.4,0.9,2.2,2.3,-2.0,8,0,387,1203,1116,131,251,67,1,35,162,2,2,55,235,.225,.268,.381,.649,76,phegljo01
Truck Hannah,2.3,2.3,2.3,1.6,2.6,1.1,-1.0,3,0,244,865,736,62,173,25,4,5,66,7,0,97,79,.235,.331,.300,.631,76,hannatr01
Ed FitzGerald,1.4,3.3,2.3,0.3,3.5,0.3,-6.4,12,0,807,2312,2086,199,542,82,10,19,217,9,11,185,235,.260,.323,.336,.659,81,fitzged01